,0
INTU,6
TMO,2
PKG,5
AOS,5
FCX,7
DVN,7
FLT,0
NTRS,1
FTNT,0
INTC,6
O,8
EOG,7
PRU,1
FDX,0
DIS,5
ETR,4
EA,10
NUE,5
ZION,1
ZBRA,0
FMC,5
STT,1
SLB,7
CAT,7
MTB,1
TSLA,6
CMG,10
TXT,3
LYV,6
CL,8
PFE,2
BRK-B,8
BR,10
CNP,8
AEE,4
ADP,10
EMN,0
NOW,2
WYNN,7
APA,7
KMI,7
APTV,9
GM,0
HST,5
CINF,10
AAL,2
WST,2
ATVI,10
CTXS,0
NLOK,0
ENPH,5
ESS,9
EFX,10
DLTR,10
POOL,6
ULTA,6
MLM,7
BLL,6
HAL,7
PPG,3
DE,3
VZ,8
HRL,8
HUM,5
RSG,10
STX,6
EQR,9
CMA,1
IRM,3
VRSN,10
ROST,10
AMP,3
NVDA,6
J,7
NWSA,0
JBHT,3
WHR,5
AMCR,3
CMCSA,10
NRG,5
PSA,8
MPC,6
SBAC,0
MU,0
SCHW,1
MCO,10
SJM,8
MGM,3
HIG,8
ABMD,2
LIN,2
PSX,5
VRSK,10
NI,4
PNW,4
CTSH,10
DTE,4
AJG,5
TRV,10
NEE,4
DVA,2
OMC,8
CRL,2
GD,3
TAP,8
CLX,8
CF,0
HPQ,0
PH,7
FITB,1
FAST,7
PEG,4
NXPI,6
MNST,6
DFS,1
IPG,9
MRO,0
MCHP,6
MET,1
C,1
A,2
HAS,5
JNJ,5
COP,7
CHTR,0
BDX,2
WAT,2
IVZ,1
CMS,4
TSCO,8
FISV,10
VMC,8
MS,1
KLAC,6
FE,10
ES,4
SO,4
DD,0
FFIV,0
LRCX,6
LHX,3
TJX,10
DUK,4
KO,8
BLK,3
NLSN,9
FB,10
AFL,10
JPM,1
SWKS,6
WM,10
EXPD,10
TFX,2
COO,2
DRI,8
HOLX,2
CRM,0
ALLE,6
BA,0
ORCL,6
SYK,2
DGX,2
TXN,6
JNPR,5
ISRG,2
TTWO,0
ALB,5
PTC,5
RMD,10
FIS,2
SYY,10
F,0
NOC,10
MAS,10
LVS,3
HII,2
MDT,2
NWS,0
T,8
BF-B,3
USB,1
WBA,8
CSX,7
MTD,2
PWR,0
V,10
AIZ,10
ZBH,2
DXCM,0
WMT,10
GE,10
WDC,0
OKE,7
GRMN,0
WMB,0
CHRW,6
MSI,10
BK,1
CTRA,10
MMM,10
TSN,6
PAYC,0
CNC,2
REG,9
PNC,1
SWK,5
CDNS,9
MCK,10
FRC,1
PENN,3
COST,8
RJF,1
MCD,8
SEE,2
CB,10
CERN,2
ARE,9
AME,0
SPG,9
UNP,0
MTCH,8
TFC,1
ADSK,5
DOV,5
ROL,10
TROW,10
HON,2
UHS,5
YUM,5
FBHS,6
AMD,3
ZTS,10
TEL,3
MKTX,6
AIG,1
CME,8
MSCI,8
AMAT,5
PHM,3
EIX,4
WFC,1
VNO,9
CMI,0
TGT,8
DAL,5
LH,2
BIIB,2
BBY,5
WRB,10
AXP,5
CPRT,5
DG,6
COF,1
PBCT,1
WAB,3
CI,5
GOOG,6
DHI,9
BKNG,5
IQV,3
FANG,7
AMGN,2
IDXX,2
MSFT,2
ETN,7
GPN,3
BEN,3
ADM,7
LNT,4
KEY,1
VTR,9
AES,8
HD,10
BWA,3
WELL,9
EXR,6
ABT,2
CPB,4
PNR,7
UDR,9
PPL,4
KMB,8
DLR,3
ATO,10
DISH,5
DPZ,5
LLY,2
NFLX,0
INCY,2
TPR,5
CVX,7
GPS,5
ILMN,2
VFC,5
LEG,6
EW,10
MAA,10
OXY,7
LUV,5
KR,6
BKR,0
CE,7
TDY,0
PXD,7
CCI,9
AAP,5
RL,3
PAYX,10
NDAQ,10
ALL,10
GL,1
AON,6
PEP,8
NTAP,0
ACN,6
WU,3
TT,7
IEX,3
TMUS,0
CDW,0
HSIC,2
NVR,9
AKAM,0
HBAN,1
L,3
JCI,3
PLD,9
GWW,10
RE,10
DISCA,7
NSC,3
ADBE,6
DHR,10
AMT,8
MPWR,6
CSCO,3
GILD,2
CAH,2
CAG,8
EBAY,2
RHI,6
MHK,5
RF,1
ITW,5
TER,3
LOW,10
HES,7
LNC,1
CBOE,9
AAPL,3
BIO,3
CVS,10
PEAK,9
ROP,3
CBRE,3
PM,8
ALK,5
BXP,9
IP,3
SRE,8
GPC,10
KMX,3
XOM,2
MAR,5
BAX,2
MOS,5
CCL,5
QCOM,10
TRMB,0
D,4
UAA,5
XRAY,5
APH,3
EMR,3
EL,8
URI,7
BRO,8
AEP,4
ABBV,5
VRTX,2
XYL,7
TDG,0
ED,4
AWK,4
MO,8
GS,1
AVGO,6
AVY,10
NKE,10
EXPE,0
STE,0
BSX,2
NCLH,6
SNPS,3
PCAR,3
UNH,5
EQIX,6
MDLZ,8
NWL,0
GIS,4
SBUX,10
EXC,3
LEN,9
WY,0
LDOS,3
ALGN,2
PFG,1
MA,2
GLW,10
GNRC,3
SIVB,1
PVH,5
HBI,0
UAL,5
JKHY,5
VLO,6
TWTR,0
DRE,9
ANTM,2
ABC,6
SPGI,2
ODFL,3
ANSS,10
STZ,9
GOOGL,6
ORLY,6
LKQ,5
UPS,10
ICE,10
AZO,10
BMY,2
SNA,3
K,4
IBM,0
ROK,0
NEM,10
ADI,6
MMC,8
BBWI,6
SHW,10
PKI,2
AMZN,6
CTAS,8
HCA,5
RCL,6
IPGP,3
PG,8
TYL,6
TECH,10
LYB,7
CHD,10
FRT,9
KIM,9
DISCK,7
MKC,10
BAC,1
IT,0
APD,10
XEL,4
HSY,10
PGR,10
MRK,2
EVRG,4
AVB,9
VTRS,2
ECL,10
REGN,2
IFF,10
LMT,8
RTX,5
HLT,5
DXC,5
LUMN,5
WEC,4
