,0
INTU,6
TMO,0
PKG,5
AOS,6
FCX,8
DVN,8
FLT,0
NTRS,3
FTNT,8
INTC,6
O,1
EOG,8
PRU,10
FDX,2
DIS,8
ETR,1
EA,5
NUE,8
ZION,3
ZBRA,5
FMC,6
STT,3
SLB,8
CAT,8
MTB,3
TSLA,7
CMG,10
TXT,5
LYV,6
CL,4
PFE,4
BRK-B,10
BR,7
CNP,4
AEE,1
ADP,10
EMN,10
NOW,10
WYNN,6
APA,8
KMI,8
APTV,2
GM,2
HST,2
CINF,4
AAL,5
WST,5
ATVI,7
CTXS,0
NLOK,0
ENPH,2
ESS,9
EFX,7
DLTR,7
POOL,10
ULTA,10
MLM,5
BLL,10
HAL,4
PPG,5
DE,2
VZ,7
HRL,8
HUM,6
RSG,10
STX,5
EQR,9
CMA,3
IRM,8
VRSN,10
ROST,6
AMP,5
NVDA,6
J,2
NWSA,8
JBHT,2
WHR,8
AMCR,5
CMCSA,10
NRG,7
PSA,10
MPC,0
SBAC,5
MU,6
SCHW,3
MCO,3
SJM,4
MGM,5
HIG,4
ABMD,7
LIN,5
PSX,6
VRSK,10
NI,1
PNW,1
CTSH,10
DTE,1
AJG,5
TRV,9
NEE,1
DVA,0
OMC,7
CRL,0
GD,2
TAP,4
CLX,4
CF,8
HPQ,6
PH,8
FITB,3
FAST,2
PEG,1
NXPI,5
MNST,10
DFS,3
IPG,9
MRO,0
MCHP,6
MET,10
C,3
A,5
HAS,2
JNJ,7
COP,8
CHTR,7
BDX,0
WAT,0
IVZ,2
CMS,1
TSCO,7
FISV,10
VMC,4
MS,3
KLAC,6
FE,8
ES,1
SO,1
DD,10
FFIV,2
LRCX,6
LHX,2
TJX,6
DUK,1
KO,4
BLK,2
NLSN,7
FB,10
AFL,10
JPM,3
SWKS,6
WM,10
EXPD,10
TFX,0
COO,0
DRI,4
HOLX,0
CRM,0
ALLE,5
BA,2
ORCL,10
SYK,0
DGX,7
TXN,6
JNPR,2
ISRG,0
TTWO,7
ALB,8
PTC,2
RMD,10
FIS,7
SYY,4
F,2
NOC,7
MAS,7
LVS,5
HII,0
MDT,7
NWS,8
T,7
BF-B,4
USB,3
WBA,10
CSX,8
MTD,0
PWR,8
V,10
AIZ,10
ZBH,0
DXCM,0
WMT,7
GE,7
WDC,6
OKE,10
GRMN,2
WMB,6
CHRW,9
MSI,8
BK,3
CTRA,5
MMM,4
TSN,6
PAYC,6
CNC,8
REG,9
PNC,3
SWK,0
CDNS,5
MCK,6
FRC,3
PENN,2
COST,4
RJF,3
MCD,7
SEE,5
CB,10
CERN,5
ARE,9
AME,8
SPG,10
UNP,8
MTCH,5
TFC,3
ADSK,5
DOV,6
ROL,2
TROW,4
HON,7
UHS,7
YUM,2
FBHS,0
AMD,6
ZTS,10
TEL,2
MKTX,4
AIG,4
CME,4
MSCI,7
AMAT,7
PHM,2
EIX,1
WFC,3
VNO,9
CMI,3
TGT,4
DAL,7
LH,5
BIIB,0
BBY,2
WRB,0
AXP,2
CPRT,7
DG,6
COF,3
PBCT,3
WAB,2
CI,3
GOOG,10
DHI,2
BKNG,2
IQV,0
FANG,5
AMGN,0
IDXX,7
MSFT,10
ETN,2
GPN,5
BEN,2
ADM,8
LNT,1
KEY,3
VTR,9
AES,4
HD,10
BWA,2
WELL,8
EXR,10
ABT,0
CPB,1
PNR,8
UDR,9
PPL,1
KMB,4
DLR,10
ATO,1
DISH,5
DPZ,8
LLY,0
NFLX,6
INCY,0
TPR,6
CVX,8
GPS,5
ILMN,5
VFC,6
LEG,6
EW,5
MAA,9
OXY,5
LUV,7
KR,6
BKR,1
CE,8
TDY,8
PXD,4
CCI,9
AAP,7
RL,6
PAYX,10
NDAQ,10
ALL,4
GL,3
AON,6
PEP,4
NTAP,2
ACN,6
WU,10
TT,8
IEX,5
TMUS,7
CDW,0
HSIC,7
NVR,9
AKAM,5
HBAN,3
L,3
JCI,2
PLD,9
GWW,8
RE,5
DISCA,2
NSC,8
ADBE,10
DHR,8
AMT,4
MPWR,6
CSCO,5
GILD,5
CAH,0
CAG,4
EBAY,0
RHI,6
MHK,6
RF,3
ITW,8
TER,2
LOW,8
HES,8
LNC,3
CBOE,9
AAPL,0
BIO,5
CVS,7
PEAK,1
ROP,5
CBRE,2
PM,4
ALK,5
BXP,9
IP,7
SRE,4
GPC,8
KMX,5
XOM,5
MAR,7
BAX,0
MOS,6
CCL,9
QCOM,8
TRMB,2
D,1
UAA,8
XRAY,7
APH,2
EMR,8
EL,4
URI,5
BRO,4
AEP,1
ABBV,0
VRTX,0
XYL,8
TDG,2
ED,1
AWK,1
MO,4
GS,3
AVGO,6
AVY,5
NKE,6
EXPE,7
STE,0
BSX,0
NCLH,9
SNPS,5
PCAR,2
UNH,0
EQIX,0
MDLZ,4
NWL,2
GIS,4
SBUX,7
EXC,7
LEN,2
WY,8
LDOS,10
ALGN,0
PFG,4
MA,5
GLW,8
GNRC,2
SIVB,3
PVH,5
HBI,2
UAL,5
JKHY,7
VLO,0
TWTR,0
DRE,9
ANTM,0
ABC,0
SPGI,10
ODFL,8
ANSS,10
STZ,9
GOOGL,10
ORLY,6
LKQ,6
UPS,10
ICE,10
AZO,6
BMY,7
SNA,0
K,4
IBM,8
ROK,8
NEM,10
ADI,6
MMC,4
BBWI,6
SHW,10
PKI,0
AMZN,8
CTAS,0
HCA,7
RCL,6
IPGP,5
PG,4
TYL,10
TECH,10
LYB,3
CHD,4
FRT,9
KIM,9
DISCK,2
MKC,4
BAC,3
IT,0
APD,3
XEL,1
HSY,10
PGR,4
MRK,0
EVRG,10
AVB,9
VTRS,0
ECL,10
REGN,0
IFF,10
LMT,4
RTX,3
HLT,2
DXC,5
LUMN,5
WEC,1
