,0
INTU,0
TMO,9
PKG,3
AOS,0
FCX,7
DVN,9
FLT,1
NTRS,2
FTNT,0
INTC,6
O,9
EOG,7
PRU,1
FDX,6
DIS,5
ETR,4
EA,8
NUE,7
ZION,2
ZBRA,0
FMC,3
STT,2
SLB,3
CAT,3
MTB,2
TSLA,7
CMG,8
TXT,10
LYV,0
CL,9
PFE,8
BRK-B,7
BR,6
CNP,9
AEE,4
ADP,10
EMN,0
NOW,1
WYNN,3
APA,3
KMI,3
APTV,1
GM,5
HST,3
CINF,8
AAL,1
WST,8
ATVI,8
CTXS,0
NLOK,1
ENPH,10
ESS,9
EFX,0
DLTR,7
POOL,10
ULTA,10
MLM,0
BLL,6
HAL,2
PPG,6
DE,10
VZ,9
HRL,7
HUM,6
RSG,7
STX,1
EQR,9
CMA,2
IRM,3
VRSN,8
ROST,10
AMP,2
NVDA,0
J,3
NWSA,7
JBHT,1
WHR,5
AMCR,7
CMCSA,8
NRG,5
PSA,5
MPC,8
SBAC,3
MU,1
SCHW,2
MCO,2
SJM,10
MGM,7
HIG,6
ABMD,1
LIN,1
PSX,3
VRSK,8
NI,4
PNW,4
CTSH,5
DTE,4
AJG,10
TRV,8
NEE,4
DVA,6
OMC,10
CRL,1
GD,6
TAP,9
CLX,1
CF,0
HPQ,5
PH,3
FITB,2
FAST,6
PEG,4
NXPI,6
MNST,6
DFS,2
IPG,10
MRO,3
MCHP,0
MET,2
C,2
A,1
HAS,0
JNJ,6
COP,3
CHTR,0
BDX,6
WAT,1
IVZ,2
CMS,4
TSCO,6
FISV,7
VMC,7
MS,2
KLAC,5
FE,10
ES,4
SO,4
DD,2
FFIV,8
LRCX,7
LHX,3
TJX,10
DUK,4
KO,10
BLK,1
NLSN,6
FB,8
AFL,6
JPM,2
SWKS,0
WM,8
EXPD,8
TFX,1
COO,5
DRI,10
HOLX,8
CRM,6
ALLE,6
BA,0
ORCL,8
SYK,1
DGX,7
TXN,5
JNPR,0
ISRG,1
TTWO,8
ALB,10
PTC,1
RMD,6
FIS,6
SYY,9
F,1
NOC,6
MAS,5
LVS,3
HII,1
MDT,1
NWS,0
T,9
BF-B,10
USB,8
WBA,8
CSX,1
MTD,1
PWR,5
V,5
AIZ,8
ZBH,1
DXCM,1
WMT,8
GE,8
WDC,0
OKE,7
GRMN,1
WMB,3
CHRW,7
MSI,8
BK,2
CTRA,10
MMM,3
TSN,7
PAYC,1
CNC,3
REG,9
PNC,2
SWK,6
CDNS,6
MCK,10
FRC,2
PENN,1
COST,10
RJF,0
MCD,0
SEE,6
CB,8
CERN,1
ARE,9
AME,10
SPG,9
UNP,10
MTCH,6
TFC,2
ADSK,0
DOV,10
ROL,1
