,0
INTU,2
TMO,9
PKG,9
AOS,4
FCX,0
DVN,9
FLT,2
NTRS,8
FTNT,2
INTC,3
O,7
EOG,9
PRU,8
FDX,5
DIS,6
ETR,7
EA,0
NUE,0
ZION,8
ZBRA,2
FMC,1
STT,8
SLB,9
CAT,3
MTB,8
TSLA,10
CMG,1
TXT,6
LYV,6
CL,4
PFE,10
BRK-B,8
BR,2
CNP,7
AEE,7
ADP,2
EMN,10
NOW,2
WYNN,10
APA,9
KMI,9
APTV,10
GM,8
HST,0
CINF,8
AAL,3
WST,6
ATVI,0
CTXS,2
NLOK,0
ENPH,10
ESS,7
EFX,5
DLTR,1
POOL,0
ULTA,1
MLM,4
BLL,5
HAL,9
PPG,3
DE,3
VZ,1
HRL,0
HUM,6
RSG,6
STX,4
EQR,7
CMA,8
IRM,1
VRSN,1
ROST,1
AMP,8
NVDA,0
J,9
NWSA,9
JBHT,0
WHR,4
AMCR,5
CMCSA,0
NRG,0
PSA,0
MPC,1
SBAC,0
MU,3
SCHW,8
MCO,2
SJM,0
MGM,2
HIG,8
ABMD,5
LIN,0
PSX,9
VRSK,6
NI,7
PNW,7
CTSH,2
DTE,7
AJG,10
TRV,8
NEE,7
DVA,0
OMC,6
CRL,6
GD,5
TAP,5
CLX,0
CF,1
HPQ,10
PH,3
FITB,8
FAST,0
PEG,7
NXPI,10
MNST,10
DFS,4
IPG,5
MRO,9
MCHP,3
MET,8
C,1
A,2
HAS,10
JNJ,5
COP,9
CHTR,8
BDX,2
WAT,0
IVZ,5
CMS,7
TSCO,1
FISV,0
VMC,4
MS,10
KLAC,3
FE,7
ES,7
SO,7
DD,3
FFIV,10
LRCX,3
LHX,6
TJX,1
DUK,7
KO,7
BLK,8
NLSN,5
FB,5
AFL,8
JPM,8
SWKS,3
WM,6
EXPD,3
TFX,10
COO,2
DRI,1
HOLX,10
CRM,2
ALLE,9
BA,9
ORCL,9
SYK,2
DGX,6
TXN,3
JNPR,2
ISRG,2
TTWO,0
ALB,10
PTC,2
RMD,6
FIS,6
SYY,6
F,9
NOC,9
MAS,4
LVS,2
HII,10
MDT,10
NWS,9
T,8
BF-B,0
USB,8
WBA,1
CSX,0
MTD,10
PWR,1
V,2
AIZ,8
ZBH,4
DXCM,2
WMT,9
GE,10
WDC,4
OKE,9
GRMN,10
WMB,10
CHRW,6
MSI,10
BK,8
CTRA,5
MMM,6
TSN,1
PAYC,6
CNC,6
REG,7
PNC,8
SWK,3
CDNS,2
MCK,5
FRC,1
PENN,4
COST,1
RJF,5
MCD,1
SEE,10
CB,8
CERN,4
ARE,7
AME,10
SPG,0
UNP,0
MTCH,0
TFC,8
ADSK,2
DOV,9
ROL,6
TROW,5
HON,9
UHS,1
YUM,2
FBHS,4
AMD,5
ZTS,2
TEL,10
MKTX,4
AIG,10
CME,8
MSCI,2
AMAT,3
PHM,4
EIX,10
WFC,8
VNO,7
CMI,3
TGT,1
DAL,3
LH,6
BIIB,3
BBY,3
WRB,8
AXP,8
CPRT,6
DG,1
COF,8
PBCT,8
WAB,1
CI,2
GOOG,2
DHI,8
BKNG,3
IQV,2
FANG,9
AMGN,5
IDXX,0
MSFT,2
ETN,3
GPN,2
BEN,8
ADM,1
LNT,7
KEY,8
VTR,7
AES,0
HD,4
BWA,3
WELL,7
EXR,7
ABT,5
CPB,0
PNR,8
UDR,7
PPL,7
KMB,7
DLR,4
ATO,7
DISH,4
DPZ,6
LLY,8
NFLX,2
INCY,2
TPR,1
CVX,9
GPS,1
ILMN,6
VFC,1
LEG,4
EW,5
MAA,7
OXY,9
LUV,1
KR,1
BKR,9
CE,10
TDY,2
PXD,9
CCI,7
AAP,1
RL,1
PAYX,0
NDAQ,8
ALL,0
GL,8
AON,6
PEP,5
NTAP,6
ACN,2
WU,0
TT,1
IEX,10
TMUS,2
CDW,2
HSIC,5
NVR,3
AKAM,0
HBAN,8
L,8
JCI,10
PLD,7
GWW,1
RE,0
DISCA,8
NSC,0
ADBE,2
DHR,2
AMT,7
MPWR,3
CSCO,2
GILD,3
CAH,10
CAG,7
EBAY,2
RHI,3
MHK,4
RF,8
ITW,3
TER,3
LOW,4
HES,9
LNC,8
CBOE,10
AAPL,2
BIO,2
CVS,8
PEAK,7
ROP,6
CBRE,10
PM,0
ALK,3
BXP,7
IP,9
SRE,7
GPC,1
KMX,3
XOM,9
MAR,3
BAX,3
MOS,3
CCL,10
QCOM,6
TRMB,10
D,7
UAA,0
XRAY,5
APH,10
EMR,3
EL,6
URI,3
BRO,0
AEP,7
ABBV,3
VRTX,3
XYL,10
TDG,10
ED,7
AWK,7
MO,0
GS,1
AVGO,5
AVY,3
NKE,6
EXPE,10
STE,2
BSX,2
NCLH,2
